spelllore,weave,spell,range,aoe,duration,save,description,warp1,warp2,warp3,spelllore-ref,attack,crit,attacktable,crittable,max
Skirmishing Mastery,8th,Blinding Shot*,0 (self),caster,1 rnd,Y,The creature hit by the caster's next Ranged weapon attack this Round must pass a TSR or be blinded until the beginning of the next Assessment Phase.,,,,skirmishing-mastery,,,,,
Skirmishing Mastery,9th,Sharpshooting*,0 (self),caster,1 rnd,N,"For the current Round, add a +5 magical bonus to all Critical Strike Rolls delivered by ranged weapon attacks made by the caster.",,,,skirmishing-mastery,,,,,
Skirmishing Mastery,10th,Rain of Arrows,30 m,6 m radius,-,N,"The caster conjures hundreds of projectiles, falling like rain of death on their enemies. This Attack Spell is resolved on the Area Spells Attack Table, with a maximum result of 150, inflicting Pierce damage and affecting anyone within the Area of Effect.  Soul Soothing Purging the soul of living beings of any negative influence, hatred, and fear. Inspiring them to perform heroic deeds.",,,,skirmishing-mastery,Area,Pierce,7.5 Area Spells Attack Table,7.11 Pierce Critical Strikes Table,150
Soul Soothing,1st,Sustain Life,3 m,1 target,1 min/lvl,N,"The caster stabilizes target living creature suffering from the Dying Condition. For the Duration of this Spell, the Dying Condition is temporarily stopped. It will resume normally when this Spell expires if its causes are not healed.",+4 Weave: change Duration to 1 hour per Level.,+9 Weave: change Duration to 1 day per Level.,,soul-soothing,,,,,
Soul Soothing,2nd,Tranquillity,30 m,1 target,1 min/lvl,Y,Target sentient creature is filled with a sense of calmness. It will react peacefully and will not attack or take aggressive action for the Duration (but it will still be able to Parry and defend itself ). This Spell's effects end immediately if the target is attacked.,+2 Weave: add one more target to the Area of Effect.,,,soul-soothing,,,,,
Soul Soothing,3rd,Dispel Fear,20 m,1 target,1 rnd/lvl,N,Target is immune to fear and fear-based effects for the Duration.,+2 Weave: add one more target to the Area of Effect.,,,soul-soothing,,,,,
Soul Soothing,4th,Banish Fatigue,20 m,1 target,1 min/lvl,N,The target ignores the effects of the Weary Condition for the Duration.,+2 Weave: add one more target to the Area of Effect.,+4 Weave: change Duration to 10 minutes per Level. Weave Spell Range Area of Effect Duration Save,,soul-soothing,,,,,
Soul Soothing,5th,Restoration,0 (touch),1 target,-,N,Target's healed from up to 25 points of Soul Damage. This spell won't bring dead characters back to life but will prevent them from rising as undead.,+1 Weave: increase amount of Soul Damage healed by 5 points.,,,soul-soothing,,,,,
Soul Soothing,6th,Inspire*,0 (self),6 m radius,1 rnd/lvl,N,"The caster's presence inspires their allies, granting them a magical +15 bonus to all their Attack and Skill Rolls for the Duration.",+2 Weave: increase the bonus granted by +5.,+3 Weave: increase radius of the Area of Effect by 3 m.,,soul-soothing,,,,,
Soul Soothing,7th,Peace of Mind,3 m,1 target,-,Y,"The caster makes a Save Roll against the Attack Level of the most powerful mind-influencing Spell or magical effect affecting target creature within range, with a special bonus of +10 (if it's a Spell, its Attack Level is equal to its Weave). If it's successful, all mind-influencing Spells and magical effects affecting the target are dispelled.",,,,soul-soothing,,,,,
Soul Soothing,8th,Break Curse,3 m,1 target,-,Y,"Target curse affecting a creature or item within range must pass a WSR using its Attack Level (or the Level of whoever placed it) as its Defender Level. If it fails, the curse is broken and its effects are permanently cancelled.",,,,soul-soothing,,,,,
Soul Soothing,9th,Exorcism,20 m,1 target,1 day/10 fail,Y,"Target demonic or incorporeal entity must pass a WSR or be banished to the Dark, unable to return to the mortal world for 1 day for every 10 points of failure in their Save Roll.",,,,soul-soothing,,,,,
Soul Soothing,10th,The Secret Flame,0 (self),caster,1 rnd/lvl,N,"The Secret Flame shines upon the caster's soul, unveiling their true power. For the Duration, the caster is immune to Soul Damage, fear, and mind-influencing magical effects; ignores the effects of the Weary Condition; and gains a magical +15 bonus to all their Attack and Save Rolls. Servants of the Darkmaster seeing the caster must pass a WSR or flee in terror.  Sounds & Lights Creating a beacon in the night and darkness where there's light, sounding clatter where there's hush, and dropping silence where there's clamor. Speaking unknown tongues.",,,,soul-soothing,,,,,
Sounds & Lights,1st,Magic Light,0 (touch),3 m radius,1 hr/lvl,N,"This Spell creates a faint radiance, illuminating an area of about 3 meters around its point of origin.","+2 Weave: if this Spell is cast upon a creature or a mobile object, the light will move with it.",+2 Weave: increase Area of Effect radius by 3 meters.,,sounds-lights,,,,,
Sounds & Lights,2nd,Tongues,20 m,1 target,C,N,"For the Duration, the caster can speak (but not understand) the language of target sentient humanoid creature.",,,,sounds-lights,,,,,
Sounds & Lights,3rd,Control Sound,5 m,5 m radius,C,N,"The caster can control the intensity of any sound within the Area of Effect for the Duration. The intensity of each sound can be decreased until it's completely silenced or increased up to three times its original loudness. Stealth Rolls in the Area of Effect get a special +25 bonus or a -25 penalty, depending on if the caster is reducing or amplifying the sounds.",+2 Weave: increase Area of Effect radius and Range by 5 meters.,,,sounds-lights,,,,,
Sounds & Lights,4th,Shroud of Darkness,3 m,1 target,10 min/lvl,N,"The target gains a shadowy appearance, making them extremely hard to see. The target is completely invisible in Total Darkness, and gains a +50 magical bonus to its Stealth rolls and a +20 bonus to its DEF in Dim Light. This Spell offers no bonuses to targets in Bright Light. Weave Spell Range Area of Effect Duration Save",,,,sounds-lights,,,,,
Sounds & Lights,5th,Enthralling Lights,30 m,6 m radius,1 rnd/lvl,Y,"This Spell creates several swirling globes of colored light, dancing in the air. Sentient creatures able to see in the Area of Effect must pass a WSR or stop whatever they were doing to stare fascinated at the lights. Creatures engaged in combat are immune to this effect, and attacking one of the fascinated creatures immediately ends the effects of this Spell. Fascinated creatures can attempt a new Save Roll during each Assessment Phase to snap out of their condition.",+2 Weave: increase Area of Effect radius by 3 meters.,+4 Weave: change Duration to 1 minute per Level.,,sounds-lights,,,,,
Sounds & Lights,6th,Darkness,0 (touch),5 m radius,10 min/lvl,N,"This Spell creates an area of absolute darkness in the Area of Effect. No natural light can exist within this darkness (including light coming from torches, lanterns, and similar mundane light sources), and magical lights of a Weave lower than this Spell's are immediately dispelled.",+2 Weave: increase Area of Effect radius by 5 meters.,,,sounds-lights,,,,,
Sounds & Lights,7th,Deafening Sound,30 m,1 target,1 hour,Y,"This Spell creates a very loud, screeching sound, that only the target can hear. The target must pass a TSR or be stricken deaf for the Duration.",,,,sounds-lights,,,,,
Sounds & Lights,8th,Blinding Light,30 m,3 m radius,-,Y,"This Spell creates a burst of intense, blinding white light. Creatures in the Area of Effect that can see are blinded for one Round for every 10 points of failure in their Save Roll.",,,,sounds-lights,,,,,
Sounds & Lights,9th,Silent Voice,0 (self),Caster,1 rnd/lvl,N,"For the Duration, the caster is able to cast Spells without having to speak.",,,,sounds-lights,,,,,
Sounds & Lights,10th,Starlight,10 m,6 m radius,10 min/lvl,N,"This Spell creates a bright silver light that illuminates everything in the Area of Effect. Servants of the Darkmaster treat this light as daylight, and any magical darkness in the Area of Effect is dispelled. Spell Songs Singing and playing enthralling magic Songs of ancient lore, awe, and ensorcellement; controlling the mind and soul of less ancient and wise living beings.",,,,sounds-lights,,,,,
Spell Songs,1st,Song of Tranquillity,15 m,1 target,C,Y,"Target sentient humanoid creature is filled with a sense of calm and peacefulness by this song. The target cannot engage in any aggressive activity for the Duration of the spell, as long as they remain within range and are able to hear the caster. If attacked, the target can defend themselves normally (by Parrying the attack or using other defensive capabilities) and can make another Save Roll to end the effects of this Spell.",+3 Weave: increase Range by 15 m.,+4 Weave: add one target to the Area of Effect.,,spell-songs,,,,,
Spell Songs,2nd,Song of Courage,15 m,1 target,C,N,This song strengthens the resolve of target living creature. Target is immune to fear for the Duration.,+3 Weave: increase Range by 15 m.,+4 Weave: add one target to the Area of Effect.,,spell-songs,,,,,
Spell Songs,3rd,Haunting Melody,15 m,1 target,C,Y,"This song shakes target sentient humanoid creature, making it inexplicably afraid of the caster. The target won't attack them for any reason (but can still Parry their attacks) and will attempt to flee from them, if able.",+3 Weave: increase Range by 15 m.,+4 Weave: add one target to the Area of Effect.,,spell-songs,,,,,
Spell Songs,4th,Enchanted Lullaby,15 m,1 target,C,Y,"Upon hearing this song, target sentient humanoid creature falls immediately asleep for the Duration. Shaking, prodding, or harming the target in any way, will grant them a Save Roll to end the effects of the Spell.",+3 Weave: increase Range by 15 m.,+4 Weave: add one target to the Area of Effect. Weave Spell Range Area of Effect Duration Save,,spell-songs,,,,,
Spell Songs,5th,Enthralling Song,15 m,1 target,C,Y,"This song confounds target creature, instilling in it the belief that the caster is an old friend, and making it act accordingly. The effects of this Spell persist for 10 minutes after its Duration expires. This Spell and its effects immediately end if the caster or one of their allies attacks or harms the target.",+3 Weave: increase Range by 15 m.,+4 Weave: add one target to the Area of Effect.,,spell-songs,,,,,
Spell Songs,6th,Resounding Rhyme,0 (self),3 m radius,1 rnd/lvl,N,"Any Spell from this Spell Lore, with an Area of Effect of “1 target”, cast by the caster while this Spell is active, will change its Area of Effect to a 3-meter radius, centered on the caster.",,,,spell-songs,,,,,
Spell Songs,7th,Fettering Song,15 m,1 target,C,Y,"This song makes target sentient creature's limbs and body feel sluggish and difficult to move, as if they were restricted by heavy chains. Target is Held for the Duration.",+3 Weave: add one target to the Area of Effect.,,,spell-songs,,,,,
Spell Songs,8th,Echoing Voice,0 (self),caster,1 rnd/lvl,N,"The caster can Concentrate on Spells from this Spell Lore as a Free Action for the Duration of this spell, but cannot Concentrate on more than one Spell each Round.",,,,spell-songs,,,,,
Spell Songs,9th,Beguiling Song,15 m,1 target,C,Y,"This insidious song convinces target sentient creature, that anything the caster sings about is undeniably true for the Duration. This Spell automatically ends if the target is presented with hard evidence that what the caster's singing about is false.",,,,spell-songs,,,,,
Spell Songs,10th,Memory's Dirge,15 m,1 target,P,Y,"This song will make target sentient creature forget about a specific event that happened within 1 day per caster's Level. Caster must Concentrate on this Spell for a time equal to the time erased from the target's memory. This Spell's effects are permanent, unless dispelled by magic. Trickery Befuddling the mind, bewildering the senses and misleading foes with cantrips, illusions and magic tricks.",,,,spell-songs,,,,,
Trickery,1st,Distraction,15 m,1 target,C,-,Target sentient creature suffers a -20 penalty to all Attack and Skill Rolls for the Duration. Targets can make a new WSR at the end of each Assessment Phase to end the effects of this Spell.,+3 Weave: add one target.,,,trickery,,,,,
Trickery,2nd,Prestidigitation,0 (touch),1 target,1 min/lvl,N,"Target inanimate object not bigger than a dagger is covered by an illusion which makes it appear as part of the caster's body for the Duration. The illusion is extremely convincing and fools the senses of sight, smell, and touch. This Spell ends immediately if the caster stops carrying the object.",+5 Weave: increase the size of the item targeted up to that of a short sword.,,,trickery,,,,,
Trickery,3rd,Phantom Theft,15 m,1 target,-,N,"Target inanimate object weighing up to 3 kg disappears, reappearing in the hands of the caster a moment later. The caster must be able to see the item and there cannot be any physical obstacle (i.e. walls, closed doors, or other barriers) between the two. If the item is being held or carried by a creature, the wielder may pass a WSR to negate the effects of this Spell.",+3 Weave: increase maximum weight of the target by 3 kg. Weave Spell Range Area of Effect Duration Save,,,trickery,,,,,
Trickery,4th,Face Shifting,0 (self),caster,1 hr/lvl,N,"The caster is covered by an illusion, making them appear and sound as someone else for the Duration. This spell can make the caster look slightly smaller or bigger (within 20% of their actual size) or appear as a member of a different humanoid Kin, but won't give them the ability to speak a language they don't know, and cannot mimic the appearance of a specific individual (i.e. it can make the caster appear like an Orc, but not like Gorzush, chieftain of the Skullbreakers clan). This illusion only affects the senses of sight and hearing, so creatures using other senses won't be fooled by it.",+3 Weave: the illusion can mimic the appearance of a specific individual (within 20% of the caster's actual size) whom the caster has seen within the last 24 hours.,,,trickery,,,,,
Trickery,5th,Escape*,0 (touch),1 target,-,N,Opens target non-magical lock or unbind any non-magical rope holding the caster.,,,,trickery,,,,,
Trickery,6th,Fumble,30 m,1 target,-,Y,Target creature fumbles the weapon they're wielding.,,,,trickery,,,,,
Trickery,7th,Ghostly Foes,30 m,1 target,C,Y,"This Spell causes target sentient creature to see a shadowy, menacing foe attacking them. This is actually a hallucination, existing only in the target's mind, but seems completely real to the target, who treats it as if it were a real foe. The hallucination cannot cause any real damage, but the target must Parry all of its attacks. The target can pass a WSR at the end of each Assessment Phase to end the effects of this Spell.",,,,trickery,,,,,
Trickery,8th,Tongue of Honey,15 m,1 target,varies,Y,"For as long as the caster speaks, target sentient creature will believe that anything the caster says is undeniably true. The effects of this Spell last until the target is presented with evidence that what the caster was saying is false.",,,,trickery,,,,,
Trickery,9th,Disappearance,0 (self),caster,-,N,"The caster disappears in a 3-meter wide cloud of heavy smoke that will linger in the area until it dissolves. The caster will immediately reappear in a chosen unoccupied space within 10 m. The caster must be able to see the point of arrival, which must rest on a solid surface. There cannot be any physical obstacle (i.e. walls, closed doors, or other barriers) between the caster and the chosen space.",,,,trickery,,,,,
Trickery,10th,Last Surprise*,10 m,1 target,-,Y,"The next melee attack by the caster against the target in the current Round is treated as if the target was Surprised. Additionally, the caster can add the number of ranks in their Arcana Skill to all Critical Strike Rolls dealt to Surprised foes with Short or Hand weapons until the end of the Round.  Weapon Mastery Becoming one thing with a chosen weapon to perform impossible martial feats and mighty deeds of arms.",,,,trickery,,,,,
Weapon Mastery,1st,Weapon Bond,0 (touch),1 target,P,N,"The caster inscribes their personal mark on target melee weapon, creating a special bond with it and turning it into their Personal Weapon. The weapon has its Clumsy Range halved (rounded down) in the hands of the caster. The caster can have only one Personal Weapon at any time. As long as this Spell is active, the caster cannot cast another Weapon Bond Spell without dismissing the first.",,,,weapon-mastery,,,,,
Weapon Mastery,2nd,Bladelight,0 (touch),1 target,1 hr/lvl,N,"Target Personal Weapon within Range starts glowing with a soft light, illuminating an area of about 3 meters around it for the Duration.",,,,weapon-mastery,,,,,
Weapon Mastery,3rd,Dance of Steel,0 (self),caster,1 rnd/lvl,N,The caster gains a +10 magical bonus to all their Attack Rolls made with their Personal Weapon for the Duration.,+3 Weave: increase the bonus by +5.,,,weapon-mastery,,,,,
Weapon Mastery,4th,Throw*,0 (self),caster,-,N,"The caster throws their Personal Weapon at an enemy within 10 meters, immediately making an Attack Roll, using their normal Skill Bonus and Attack Table for that weapon.","+5 Weave: the weapon will fly back to the caster's outstretched hand after striking the enemy, unless it is somehow restrained. Weave Spell Range Area of Effect Duration Save",,,weapon-mastery,,,,,
Weapon Mastery,5th,Cleaving Strike,0 (touch),1 target,-,N,"The caster strikes target inanimate non-magical object (weighing no more than 5 kg) with his Personal Weapon, breaking it cleanly in half without damaging the weapon in any way.",,,,weapon-mastery,,,,,
Weapon Mastery,6th,Lunging Attacks*,0 (self),caster,1 rnd/lvl,N,The Length of the caster's Personal Weapon is considered to be one step longer (up to Longest) for the purpose of determining striking order for the Duration.,+2 Weave: increase Weapon Length by one more step.,,,weapon-mastery,,,,,
Weapon Mastery,7th,Rending Strikes,0 (self),caster,1 rnd/lvl,N,"For the Duration, if a Critical Strike delivered by the caster with their Personal Weapon inflicts Bleeding, increase the HP loss inflicted by 2 HP per Round.",,,,weapon-mastery,,,,,
Weapon Mastery,8th,Multi-Attack*,0 (self),caster,1 rnd,N,"For the current Round, the caster can use their Personal Weapon to simultaneously attack two different enemies engaged with them. They make a single Attack Roll using half their normal CMB (rounded down) and apply the result against both opponents.",,,,weapon-mastery,,,,,
Weapon Mastery,9th,Savage Strike*,0 (self),caster,1 rnd,N,"For the current Round, add a +5 magical bonus to all Critical Strike Rolls delivered by the caster with their Personal Weapon.",,,,weapon-mastery,,,,,
Weapon Mastery,10th,Whirlwind of Steel,0 (self),1.5m radius,-,N,"The caster spins their Personal Weapon around themselves in a deadly whirlwind, striking every enemy within reach. This Attack Spell is resolved on the Area Spells Attack Table, with no maximum result, inflicting the same type of damage as the caster's Personal Weapon and affecting anyone within the Area of Effect. Dark Sorcery Mastering formulas fatal to the flesh to visit vengeance upon one's hated enemies, summon foul entities from the realms below, or bend lesser minds to one's will.",,,,weapon-mastery,Area,Cut,7.5 Area Spells Attack Table,7.10 Cut Critical Strikes Table,175
